番号,stock_code,stock_name,date
102,1433,テラ株式会社,"2016/03/30,2017/03/30,2018/03/29,2018/12/29,2017/07/18,2018/06/29"
103,1301,株式会社D.U.corporation,2017/10/11-2019/03/31
104,3803,イメージ情報開発株式会社,2014/06/27
105,3445,株式会社RS Technologies,"2015/11/13,2016/03/29"
106,3004,神栄株式会社,"2016/06/28,2016/08/05,2016/11/07,2017/02/03,2017/06/28"
107,3686,株式会社ディー・エル・イー,"2014/05/15,2014/09/26,2014/11/14,2015/02/13,2015/05/15,2015/09/15,2015/11/13,2016/02/05,2016/05/13,2016/09/12,2016/11/14,2017/02/14,2017/05/15,2017/09/25,2017/11/14,2018/02/13,2018/05/15,2014/03/25,2016/11/29"
108,7201,日産自動車株式会社,2016/06/21-2018/06/30
109,8107,株式会社キムラタン,2019/04/11-2019/04/15
110,6740,株式会社ジャパンディスプレイ,"2016/02/09,2016/06/21,2016/08/09,2016/11/09,2017/02/08,2017/06/21,2019/06/19,2017/01/11,2018/04/25"
111,7187,ジェイリース株式会社,2016/06/21
112,6343,フリージア・マクロス株式会社,"2017/06/28,2018/06/28"
113,8089,ナイス株式会社,"2015/06/26,2017/06/29,2018/06/28,2019/08/01"
114,8938,グローム・ホールディングス株式会社,"2015/06/26,2015/08/14,2015/11/13,2016/02/12,2016/06/28,2016/03/11"
115,4970,東洋合成工業株式会社,2019/01/16-2019/01/25
116,7187,ジェイリース株式会社,"2016/06/30,2016/08/08,2016/11/08,2017/02/07,2017/06/30,2017/08/09,2017/11/08,2018/02/07,2018/06/28,2018/08/07,2018/12/14,2019/02/06,2019/06/27,2019/08/14,2016/06/21"
117,7604,株式会社梅の花,2016/12/22
118,2160,株式会社ジーエヌアイグループ,"2019/07/16-2019/08/14,2019/08/16-2019/08/29"
119,7951,ヤマハ株式会社,2018/04/17-2018/04/20
120,7832,株式会社バンダイナムコホールディングス,"2018/12/12,2018/12/20,2019/01/10,2019/02/05,2019/06/28,2019/07/01,2019/08/21"
121,2721,株式会社ジェイホールディングス,"2017/08/14,2017/11/14,2018/03/30,2018/08/14,2018/11/14,2019/03/29,2019/05/15,2019/08/14,2019/11/14"
122,6615,ユー・エム・シー・エレクトロニクス株式会社,"2016/06/29,2016/08/12,2016/11/14,2017/02/14,2017/06/28,2017/08/10,2017/11/13,2018/02/13,2018/06/27,2018/08/10,2018/11/13,2019/02/14,2019/06/28,2016/03/14,2018/06/11"
123,2354,株式会社ＹＥ ＤＩＧＩＴＡＬ,"2020/08/11-2020/09/01,2020/09/09-2020/09/23"
124,1801,大成株式会社,"2020/12/26,2021/01/21-2021/01/31,2021/01/05-2021/02/01"
125,1301,株式会社Thousand Ventures,2022/06/28
126,1301,株式会社Thousand Ventures,"2016/07/01-2022/02/28,2021/07/01-2022/03/31,2021/09/01-2021/12/31,2021/04/01,2021/05/01,2021/10/01,2022/01/01"
127,2418,株式会社ツカダ・グローバルホールディング,"2020/04/08-2020/06/18,2020/05/25"
128,6837,株式会社京写,2020/05/21-2020/06/01
129,6573,アジャイルメディア・ネットワーク株式会社,"2018/05/11,2018/08/13,2021/07/14,2018/11/12,2019/03/29,2019/05/15,2019/08/13,2019/11/13,2020/03/30,2020/06/18,2020/08/12,2020/11/13,2021/03/29,2021/08/16,2021/11/12,2020/07/06,2021/12/30"
130,7806,株式会社ＭＴＧ,2019/02/13
131,3647,株式会社ジー・スリーホールディングス,"2017/07/14,2017/11/30,2018/01/12,2018/04/13,2018/07/13,2018/11/30,2019/01/15,2019/04/12,2019/07/12,2019/11/29,2020/01/14,2020/11/30,2020/02/13"
132,3443,川田テクノロジーズ株式会社,2019/08/14-2019/08/22
